Group,Soft Cap Period,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Staff,AY 22-23, 1st,affiliate,contractor,0,85,0,1135,0,0,0,0,0,0,0,0,0,4,0,0,4,85,1135,85,1139,1224
Student,AY 22-23, 1st,student,degree,1081,0,130,0,0,0,0,0,0,0,4,0,5,0,0,4,5,1081,130,1085,135,1220
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1206,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,4,1211,4,1215
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,477,3,693,40,0,0,0,0,0,0,0,0,0,0,0,0,0,480,733,480,733,1213
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,716,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,496,716,496,1212
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,744,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,466,744,466,1210
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,306,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,1210,0,1210
Student,AY 22-23, 1st,student,degree,60,0,1033,0,0,0,0,0,0,0,1,0,109,0,0,1,109,60,1033,61,1142,1203
Student,AY 22-23, 1st,student,degree,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,1198,0,1198
Student,AY 22-23, 1st,student,degree,759,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,434,759,434,1193
Staff,AY 22-23, 1st,affiliate,administrator,701,0,478,0,0,0,0,0,0,0,0,0,8,0,0,0,8,701,478,701,486,1187
Staff,AY 22-23, 1st,affiliate,ad_contingent,344,27,627,147,0,0,0,0,0,0,8,0,34,0,0,8,34,371,774,379,808,1187
Student,AY 22-23, 1st,affiliate,legacy_student,1180,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,6,1180,6,1186
Student,AY 22-23, 1st,student,degree,1184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,1,1184,1,1185
Staff,AY 22-23, 1st,affiliate,contractor,856,53,134,133,0,0,0,0,0,0,4,0,0,0,0,4,0,909,267,913,267,1180
Student,AY 22-23, 1st,student,degree,667,0,499,0,0,0,0,0,0,0,6,0,5,0,0,6,5,667,499,673,504,1177
Student,AY 22-23, 1st,student,degree,255,1,894,23,0,0,0,0,0,0,1,0,2,0,0,1,2,256,917,257,919,1176
Faculty & Researcher,AY 22-23, 1st,student,researcher,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,1171,0,1171
Staff,AY 22-23, 1st,affiliate,administrator,166,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1005,166,1005,1171
Staff,AY 22-23, 1st,affiliate,contractor,0,33,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1137,33,1137,1170
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,301,0,858,4,0,0,0,0,0,0,3,0,4,0,0,3,4,301,862,304,866,1170
Staff,AY 22-23, 1st,affiliate,administrator,192,0,958,0,0,0,0,0,0,0,0,0,17,0,0,0,17,192,958,192,975,1167
Staff,AY 22-23, 1st,affiliate,administrator,656,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,511,656,511,1167
Staff,AY 22-23, 1st,affiliate,contractor,11,41,364,732,0,0,0,0,0,0,0,0,15,0,0,0,15,52,1096,52,1111,1163
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,1162,0,1162
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,29,200,191,730,0,0,0,0,0,0,0,1,0,2,0,1,2,229,921,230,923,1153
Student,AY 22-23, 1st,student,degree,371,0,762,0,0,0,0,0,0,0,3,0,13,0,0,3,13,371,762,374,775,1149
Student,AY 22-23, 1st,student,degree,702,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,433,702,433,1135
Staff,AY 22-23, 1st,affiliate,contractor,230,477,228,131,0,0,0,0,0,0,25,0,38,1,0,25,39,707,359,732,398,1130
Student,AY 22-23, 1st,student,degree,584,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,543,584,543,1127
Others,AY 22-23, 1st,student,--Unknown billing code--,464,0,647,0,0,0,0,0,0,0,0,0,14,0,0,0,14,464,647,464,661,1125
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,548,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,576,548,576,1124
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,569,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,553,569,553,1122
Student,AY 22-23, 1st,student,degree,942,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,180,942,180,1122
Staff,AY 22-23, 1st,affiliate,contractor,1,27,218,869,0,0,0,0,0,0,0,0,5,2,0,0,7,28,1087,28,1094,1122
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,610,504,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,4,1114,4,1118
Staff,AY 22-23, 1st,affiliate,administrator,148,0,961,0,0,0,0,0,0,0,0,0,4,0,0,0,4,148,961,148,965,1113
Student,AY 22-23, 1st,student,degree,425,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,688,425,688,1113
Student,AY 22-23, 1st,student,degree,491,0,488,0,0,0,0,0,0,0,98,0,36,0,0,98,36,491,488,589,524,1113
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,1091,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,18,1094,18,1112
Faculty & Researcher,AY 22-23, 1st,affiliate,research_affiliate,489,21,588,1,0,0,0,0,0,0,6,0,0,0,0,6,0,510,589,516,589,1105
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,775,1,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,328,776,328,1104
Staff,AY 22-23, 1st,affiliate,administrator,599,0,496,7,0,0,0,0,0,0,0,0,0,0,0,0,0,599,503,599,503,1102
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,145,1,873,0,0,0,0,0,0,0,4,0,78,0,0,4,78,146,873,150,951,1101
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,1101,0,1101
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,651,5,439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,656,440,656,440,1096
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,376,209,463,47,0,0,0,0,0,0,0,0,0,0,0,0,0,585,510,585,510,1095
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,629,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,465,629,465,1094
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,424,603,0,25,0,0,0,0,0,0,0,2,0,39,0,2,39,1027,25,1029,64,1093
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,652,355,71,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,85,1007,85,1092
Staff,AY 22-23, 1st,affiliate,ad_contingent,48,24,487,526,0,0,0,0,0,0,2,0,4,0,0,2,4,72,1013,74,1017,1091
Student,AY 22-23, 1st,student,degree,722,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,368,722,368,1090
Student,AY 22-23, 1st,student,degree,869,3,214,0,0,0,0,0,0,0,0,0,1,0,0,0,1,872,214,872,215,1087
Staff,AY 22-23, 1st,affiliate,ad_contingent,175,53,639,193,0,0,0,0,0,0,1,0,19,0,0,1,19,228,832,229,851,1080
Student,AY 22-23, 1st,student,degree,944,22,103,0,0,0,0,0,0,0,2,2,4,0,0,4,4,966,103,970,107,1077
Student,AY 22-23, 1st,student,degree,874,0,196,0,0,0,0,0,0,0,0,0,3,0,0,0,3,874,196,874,199,1073
Student,AY 22-23, 1st,student,degree,74,1,996,0,0,0,0,0,0,0,2,0,0,0,0,2,0,75,996,77,996,1073
Student,AY 22-23, 1st,student,degree,429,0,629,0,0,0,0,0,0,0,2,0,10,0,0,2,10,429,629,431,639,1070
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,379,0,671,11,0,0,0,0,0,0,0,0,4,2,0,0,6,379,682,379,688,1067
Student,AY 22-23, 1st,student,degree,116,25,914,10,0,0,0,0,0,0,0,0,0,0,0,0,0,141,924,141,924,1065
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,296,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,765,296,765,1061
Others,AY 22-23, 1st,student,--Unknown billing code--,990,0,53,0,0,0,0,0,0,0,16,0,0,0,0,16,0,990,53,1006,53,1059
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,432,0,623,3,0,0,0,0,0,0,0,0,0,0,0,0,0,432,626,432,626,1058
Student,AY 22-23, 1st,student,degree,83,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,974,83,974,1057
Student,AY 22-23, 1st,student,degree,647,0,403,5,0,0,0,0,0,0,0,0,0,0,0,0,0,647,408,647,408,1055
Staff,AY 22-23, 1st,affiliate,contractor,215,771,19,8,0,0,0,0,0,0,35,1,3,1,0,36,4,986,27,1022,31,1053
Student,AY 22-23, 1st,student,degree,1018,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,35,1018,35,1053
Staff,AY 22-23, 1st,affiliate,administrator,366,2,612,0,0,0,0,0,0,0,0,0,70,2,0,0,72,368,612,368,684,1052
Student,AY 22-23, 1st,student,degree,847,0,191,1,0,0,0,0,0,0,6,0,3,0,0,6,3,847,192,853,195,1048
Student,AY 22-23, 1st,student,degree,482,1,311,252,0,0,0,0,0,0,0,0,0,0,0,0,0,483,563,483,563,1046
Others,AY 22-23, 1st,affiliate,employee_family_member,705,0,118,106,0,0,0,0,0,0,98,0,3,13,0,98,16,705,224,803,240,1043
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,1043,0,1043
Student,AY 22-23, 1st,student,legacy_student,911,0,51,0,0,0,0,0,0,0,0,0,78,0,0,0,78,911,51,911,129,1040
Staff,AY 22-23, 1st,affiliate,contractor,820,67,93,53,0,0,0,0,0,0,1,0,1,0,0,1,1,887,146,888,147,1035
Staff,AY 22-23, 1st,affiliate,contractor,504,289,181,6,0,0,0,0,0,0,14,0,28,10,0,14,38,793,187,807,225,1032
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,776,0,254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,776,256,776,256,1032
Staff,AY 22-23, 1st,affiliate,contractor,715,196,61,60,0,0,0,0,0,0,0,0,0,0,0,0,0,911,121,911,121,1032
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,379,0,631,0,0,0,0,0,0,0,0,0,15,0,0,0,15,379,631,379,646,1025
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,521,81,419,1,0,0,0,0,0,0,1,0,0,0,0,1,0,602,420,603,420,1023
Student,AY 22-23, 1st,student,degree,597,3,414,0,0,0,0,0,0,0,0,0,9,0,0,0,9,600,414,600,423,1023
Others,AY 22-23, 1st,student,--Unknown billing code--,155,1,865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156,866,156,866,1022
Student,AY 22-23, 1st,student,degree,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,1020,0,1020
Student,AY 22-23, 1st,student,degree,938,0,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,938,79,938,79,1017
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,612,117,280,5,0,0,0,0,0,0,0,0,0,0,0,0,0,729,285,729,285,1014
Student,AY 22-23, 1st,student,degree,911,0,64,36,0,0,0,0,0,0,0,0,1,0,0,0,1,911,100,911,101,1012
Student,AY 22-23, 1st,student,degree,481,1,438,0,0,0,0,0,0,0,1,0,83,0,0,1,83,482,438,483,521,1004
Student,AY 22-23, 1st,student,degree,956,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,48,956,48,1004
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,643,49,296,16,0,0,0,0,0,0,0,0,0,0,0,0,0,692,312,692,312,1004
Student,AY 22-23, 1st,student,degree,841,0,129,0,0,0,0,0,0,0,22,0,11,0,0,22,11,841,129,863,140,1003
Staff,AY 22-23, 1st,affiliate,contractor,0,20,0,941,0,0,0,0,0,0,0,0,0,41,0,0,41,20,941,20,982,1002
Student,AY 22-23, 1st,student,degree,902,7,72,20,0,0,0,0,0,0,0,0,0,0,0,0,0,909,92,909,92,1001
Student,AY 22-23, 1st,student,degree,556,0,437,0,0,0,0,0,0,0,4,0,1,0,0,4,1,556,437,560,438,998
Staff,AY 22-23, 1st,affiliate,administrator,751,0,166,0,0,0,0,0,0,0,25,0,49,6,0,25,55,751,166,776,221,997
Staff,AY 22-23, 1st,affiliate,administrator,295,4,696,2,0,0,0,0,0,0,0,0,0,0,0,0,0,299,698,299,698,997
Student,AY 22-23, 1st,student,degree,918,0,0,0,0,0,0,0,0,0,76,0,0,0,0,76,0,918,0,994,0,994
Faculty & Researcher,AY 22-23, 1st,student,researcher,954,1,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,955,35,955,35,990
Others,AY 22-23, 1st,student,--Unknown billing code--,299,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,690,299,690,989
Student,AY 22-23, 1st,student,degree,956,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,33,956,33,989
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,714,0,249,25,0,0,0,0,0,0,0,0,0,0,0,0,0,714,274,714,274,988
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,935,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,52,935,52,987
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,969,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,16,971,16,987
Student,AY 22-23, 1st,student,degree,933,0,2,0,0,0,0,0,0,0,44,0,4,0,0,44,4,933,2,977,6,983
Student,AY 22-23, 1st,student,degree,953,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,25,953,25,978
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,333,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,642,333,642,975
Student,AY 22-23, 1st,student,degree,206,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,769,206,769,975
Staff,AY 22-23, 1st,affiliate,ad_contingent,48,402,232,277,0,0,0,0,0,0,1,0,10,2,0,1,12,450,509,451,521,972
Staff,AY 22-23, 1st,affiliate,administrator,385,25,428,23,0,0,0,0,0,0,3,0,103,3,0,3,106,410,451,413,557,970
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,134,142,622,70,0,0,0,0,0,0,0,0,0,0,0,0,0,276,692,276,692,968
Staff,AY 22-23, 1st,affiliate,contractor,523,96,298,42,0,0,0,0,0,0,3,0,4,0,0,3,4,619,340,622,344,966
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,960,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,960,6,960,6,966
Student,AY 22-23, 1st,student,degree,139,782,8,0,0,0,0,0,0,0,16,0,17,0,0,16,17,921,8,937,25,962
Staff,AY 22-23, 1st,affiliate,administrator,388,1,554,0,0,0,0,0,0,0,0,0,18,0,0,0,18,389,554,389,572,961
Student,AY 22-23, 1st,student,degree,894,0,64,0,0,0,0,0,0,0,2,0,0,0,0,2,0,894,64,896,64,960
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,216,0,728,5,0,0,0,0,0,0,0,0,6,4,0,0,10,216,733,216,743,959
Student,AY 22-23, 1st,student,degree,559,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,400,559,400,959
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,957,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,0,959,0,959
Staff,AY 22-23, 1st,affiliate,contractor,21,21,78,830,0,0,0,0,0,0,0,0,8,0,0,0,8,42,908,42,916,958
Staff,AY 22-23, 1st,affiliate,contractor,0,15,7,935,0,0,0,0,0,0,0,0,0,0,0,0,0,15,942,15,942,957
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,930,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,930,26,930,26,956
Staff,AY 22-23, 1st,student,administrator,383,0,566,0,0,0,0,0,0,0,0,0,7,0,0,0,7,383,566,383,573,956
Others,AY 22-23, 1st,student,--Unknown billing code--,843,3,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,846,108,846,108,954
Faculty & Researcher,AY 22-23, 1st,student,researcher,164,0,738,27,0,0,0,0,0,0,22,0,1,2,0,22,3,164,765,186,768,954
Student,AY 22-23, 1st,student,degree,153,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,800,153,800,953
Student,AY 22-23, 1st,student,degree,495,0,451,0,0,0,0,0,0,0,2,0,4,0,0,2,4,495,451,497,455,952
Student,AY 22-23, 1st,student,degree,774,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,175,774,175,949
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,685,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,260,685,260,945
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,807,21,114,0,0,0,0,0,0,0,0,0,2,0,0,0,2,828,114,828,116,944
Staff,AY 22-23, 1st,affiliate,contractor,714,0,227,0,0,0,0,0,0,0,2,0,0,0,0,2,0,714,227,716,227,943
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,837,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,55,885,55,940
Staff,AY 22-23, 1st,affiliate,contractor,39,574,167,7,0,0,0,0,0,0,0,57,0,96,0,57,96,613,174,670,270,940
Staff,AY 22-23, 1st,affiliate,administrator,103,1,832,3,0,0,0,0,0,0,0,0,0,0,0,0,0,104,835,104,835,939
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,871,0,49,14,0,0,0,0,0,0,0,0,0,0,0,0,0,871,63,871,63,934
Student,AY 22-23, 1st,student,degree,928,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,929,4,929,4,933
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,922,4,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,926,3,927,3,930
Staff,AY 22-23, 1st,affiliate,contractor,32,3,738,152,0,0,0,0,0,0,0,0,3,1,0,0,4,35,890,35,894,929
Staff,AY 22-23, 1st,affiliate,ad_contingent,204,9,708,7,0,0,0,0,0,0,0,0,0,0,0,0,0,213,715,213,715,928
Staff,AY 22-23, 1st,affiliate,administrator,927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1,927,1,928
Student,AY 22-23, 1st,student,degree,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,926,0,926
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,289,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,637,289,637,926
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,863,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,4,917,4,921
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,919,0,919
Student,AY 22-23, 1st,student,degree,896,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,23,896,23,919
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,912,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,912,0,912,1,913
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,433,0,472,0,0,0,0,0,0,0,0,0,1,4,0,0,5,433,472,433,477,910
Student,AY 22-23, 1st,student,degree,692,0,203,0,0,0,0,0,0,0,2,0,13,0,0,2,13,692,203,694,216,910
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,906,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,3,906,3,909
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,350,451,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,801,106,801,106,907
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,903,0,903
Staff,AY 22-23, 1st,affiliate,contractor,0,19,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,19,884,19,884,903
Others,AY 22-23, 1st,student,--Unknown billing code--,721,10,142,26,0,0,0,0,0,0,0,4,0,0,0,4,0,731,168,735,168,903
Student,AY 22-23, 1st,student,degree,776,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,124,776,124,900
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,706,120,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,826,72,826,72,898
Staff,AY 22-23, 1st,affiliate,contractor,84,28,714,54,0,0,0,0,0,0,2,0,16,0,0,2,16,112,768,114,784,898
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,673,0,209,2,0,0,0,0,0,0,4,0,8,0,0,4,8,673,211,677,219,896
Staff,AY 22-23, 1st,affiliate,ad_contingent,107,2,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,786,109,786,895
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,484,0,387,0,0,0,0,0,0,0,5,0,16,0,0,5,16,484,387,489,403,892
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,891,0,891
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,699,2,184,5,0,0,0,0,0,0,0,0,0,0,0,0,0,701,189,701,189,890
Staff,AY 22-23, 1st,affiliate,administrator,266,14,607,2,0,0,0,0,0,0,0,0,0,0,0,0,0,280,609,280,609,889
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,887,0,887
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,418,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,465,418,465,883
Staff,AY 22-23, 1st,affiliate,contractor,0,164,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,164,718,164,718,882
Staff,AY 22-23, 1st,affiliate,contractor,229,74,434,116,0,0,0,0,0,0,2,6,17,1,0,8,18,303,550,311,568,879
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,515,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,364,515,364,879
Faculty & Researcher,AY 22-23, 1st,affiliate,adjunct faculty,17,93,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,768,110,768,878
Staff,AY 22-23, 1st,affiliate,contractor,0,385,0,415,0,0,0,0,0,0,0,20,0,57,0,20,57,385,415,405,472,877
Student,AY 22-23, 1st,student,degree,743,2,122,0,0,0,0,0,0,0,10,0,0,0,0,10,0,745,122,755,122,877
Staff,AY 22-23, 1st,affiliate,contractor,0,192,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,192,685,192,685,877
Others,AY 22-23, 1st,student,--Unknown billing code--,435,37,206,189,0,0,0,0,0,0,6,0,3,0,0,6,3,472,395,478,398,876
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,317,74,305,18,0,0,0,0,0,0,53,0,105,2,0,53,107,391,323,444,430,874
Student,AY 22-23, 1st,student,degree,726,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,147,726,147,873
Student,AY 22-23, 1st,student,degree,597,0,274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,597,275,597,275,872
Student,AY 22-23, 1st,student,degree,821,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,51,821,51,872
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,119,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,751,119,751,870
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,559,87,219,5,0,0,0,0,0,0,0,0,0,0,0,0,0,646,224,646,224,870
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,805,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,64,805,64,869
Staff,AY 22-23, 1st,affiliate,administrator,378,8,467,16,0,0,0,0,0,0,0,0,0,0,0,0,0,386,483,386,483,869
Staff,AY 22-23, 1st,affiliate,administrator,149,10,280,429,0,0,0,0,0,0,0,0,0,0,0,0,0,159,709,159,709,868
Student,AY 22-23, 1st,student,degree,866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,1,866,1,867
Staff,AY 22-23, 1st,affiliate,contractor,24,455,256,120,0,0,0,0,0,0,0,0,1,10,0,0,11,479,376,479,387,866
Student,AY 22-23, 1st,student,degree,649,0,141,0,0,0,0,0,0,0,52,0,23,0,0,52,23,649,141,701,164,865
Student,AY 22-23, 1st,student,degree,853,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,8,853,8,861
Student,AY 22-23, 1st,student,degree,820,0,16,0,0,0,0,0,0,0,4,6,13,0,0,10,13,820,16,830,29,859
Staff,AY 22-23, 1st,affiliate,ad_contingent,428,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,431,428,431,859
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,802,5,11,23,0,0,0,0,0,0,0,0,13,3,0,0,16,807,34,807,50,857
Staff,AY 22-23, 1st,affiliate,contractor,0,275,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,275,582,275,582,857
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,501,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,356,501,356,857
Others,AY 22-23, 1st,affiliate,employee_family_member,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,856,0,856
Student,AY 22-23, 1st,student,degree,791,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,1,791,63,791,64,855
Staff,AY 22-23, 1st,affiliate,administrator,119,0,637,2,0,0,0,0,0,0,6,0,90,0,0,6,90,119,639,125,729,854
Others,AY 22-23, 1st,affiliate,employee_family_member,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,854,0,854
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,852,0,852
Student,AY 22-23, 1st,student,degree,402,1,441,7,0,0,0,0,0,0,0,0,0,0,0,0,0,403,448,403,448,851
Student,AY 22-23, 1st,student,degree,357,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,494,357,494,851
Student,AY 22-23, 1st,student,degree,213,0,632,0,0,0,0,0,0,0,2,0,3,0,0,2,3,213,632,215,635,850
Staff,AY 22-23, 1st,affiliate,contractor,4,104,17,724,0,0,0,0,0,0,0,0,0,0,0,0,0,108,741,108,741,849
Staff,AY 22-23, 1st,affiliate,contractor,126,586,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,712,137,712,137,849
Student,AY 22-23, 1st,student,degree,764,41,17,5,0,0,0,0,0,0,11,1,9,0,0,12,9,805,22,817,31,848
